symbol,entry_idx,r,oversold,bullish_div
ADAUSDT,574,-0.1934028756695809,False,True
APTUSDT,4596,-1.0,False,True
APTUSDT,4666,2.0,False,True
APTUSDT,4995,-1.0,False,True
ARBUSDT,1484,-1.0,False,True
ARBUSDT,3777,-1.0,False,True
AVAXUSDT,926,-1.0,False,True
BNBUSDT,72,2.0,False,True
BNBUSDT,4134,-1.0,False,True
DOTUSDT,3618,2.0,False,True
FETUSDT,2199,2.0,False,True
FETUSDT,4122,2.0,False,True
FETUSDT,4953,2.0,False,True
INJUSDT,3112,2.0,False,True
INJUSDT,4383,-1.0,False,True
INJUSDT,4740,-1.0,False,True
NEARUSDT,2436,2.0,False,True
OPUSDT,655,2.0,False,True
OPUSDT,4123,-1.0,False,True
OPUSDT,5353,2.0,False,True
PEPEUSDT,3801,-1.0,False,True
PEPEUSDT,4539,2.0,False,True
PEPEUSDT,4727,-1.0,False,True
PEPEUSDT,4774,-1.0,False,True
PEPEUSDT,5099,2.0,False,True
RUNEUSDT,1942,-1.0,False,True
SOLUSDT,2547,2.0,False,True
WIFUSDT,434,-1.0,False,True
WIFUSDT,1601,2.0,False,True
XRPUSDT,4284,-1.0,False,True
XRPUSDT,4594,-1.0,False,True
