symbol,entry_idx,r,overbought,bearish_div
ADAUSDT,3718,-1.0,False,True
APTUSDT,257,-1.0,False,True
APTUSDT,474,-0.5412141437913539,False,True
APTUSDT,1693,2.0,False,True
APTUSDT,4345,-1.0,False,True
ARBUSDT,1610,-1.0,False,True
ARBUSDT,3373,-1.0,False,True
AVAXUSDT,1609,-1.0,False,True
AVAXUSDT,2465,2.0,False,True
DOGEUSDT,2052,-1.0,False,True
FETUSDT,278,-1.0,False,True
FETUSDT,2029,-1.0,False,True
LINKUSDT,2856,-1.0,True,False
LINKUSDT,3601,2.0,False,True
LINKUSDT,3717,-1.0,False,True
NEARUSDT,278,-1.0,False,True
NEARUSDT,5026,-0.2501861504095313,False,True
OPUSDT,3672,2.0,False,True
PEPEUSDT,3376,-1.0,False,True
SEIUSDT,3368,-1.0,False,True
SOLUSDT,2111,2.0,False,True
SOLUSDT,2998,2.0,False,True
SOLUSDT,3869,2.0,False,True
SUIUSDT,362,2.0,False,True
SUIUSDT,3544,-1.0,False,True
SUIUSDT,3990,-1.0,False,True
WIFUSDT,1332,-1.0,False,True
WIFUSDT,3336,-1.0,False,True
