symbol,entry_idx,r
ADAUSDT,574,-1.0
APTUSDT,4596,-1.0
APTUSDT,4995,-1.0
ARBUSDT,1484,-1.0
ARBUSDT,3777,-1.0
AVAXUSDT,926,-1.0
BNBUSDT,72,0.29553679131483823
BNBUSDT,4134,-1.0
DOTUSDT,3618,-1.0
FETUSDT,2199,3.8821459982409987
FETUSDT,4122,0.593210586881473
FETUSDT,4953,0.47196261682241925
INJUSDT,3112,-1.0
INJUSDT,4383,-1.0
INJUSDT,4740,-1.0
NEARUSDT,2436,-1.0
OPUSDT,655,1.2298200514138775
OPUSDT,4123,-1.0
PEPEUSDT,3801,-1.0
PEPEUSDT,4539,-1.0
PEPEUSDT,4727,-1.0
PEPEUSDT,5099,2.5183098591549475
RUNEUSDT,1942,-1.0
SOLUSDT,2547,1.4411267129081369
WIFUSDT,434,-1.0
WIFUSDT,1601,1.4118390562460508
XRPUSDT,4284,-1.0
XRPUSDT,4594,-1.0
